Type,Description,Community,List Price,Sold Price,Taxes,Street Name,St#,Bedroom,BedPlus,Baths,Front,Parking Drive Spaces,Depth,Garage Type,Pool,Remarks For Brokers,Remarks For Clients,Extras,Basement1,Basement2
Detached,Bungalow,Bay Ridges,"$599,800","$610,000","$4,381",Ilona Park,1275,3,2,2,50,4,100,Carport,None,,"Amazing All Brick Bungalow. Lots Of Natural Light And Privacy With Good Size Lot. Separate Entrance To Finished Basement With 2 Bedrooms (One Used As Storage) Newly Renovated Washroom. Eat-In Kitchen With Granite Counter And Stainless Steel Appliances. Lots Of Parking! Short Walk To Marina, Walking Trails, Restaurants.","Includes All Electric Light Fixtures, Fridge(2), Gas Stove, Built-In Dishwasher, Washer, Dryer. All Window Coverings. Close To 401, Go Station, Lake, Walking Trails, Shopping.",Finished,
Detached,Backsplit 3,Bay Ridges,"$575,000","$569,000","$4,141",Ilona Park,1265,3,,2,50,4,100,None,Inground,"Lbox On Premises For Convenient Showings. Please Attach Sch B And Certify Deposit Cheque. Please Note Pool Heater Thermostat Is ""As Is"".","There Comes A Time In Life When The Torch Must Be Passed And After 54 Years This Lovely Family Home Awaits A New Owner. Cozy And Spotless It Is A Home That Truly Represents Family. With Some Decorating Flare You Can Make It Your Dream Home Where You Can Walk Minutes To The Shores Of Lake Ontario. Newer Hi-Efficiency Furnace, Shingles, Inground Concrete Pool And Pristine Hardwood Floors. Extra-Wide Driveway With No Sidewalks To Shovel (Added Bonus).","Incl. Fridge, Ceran-Top Stove, Washer And Dryer, All Window Coverings (Except Living/Dining Room), All Electric Light Fixtures, Central Vacuum And All Related Equipment, All Pool Related Equipment, Window Air Conditioner, Fridge In Bsmt",Finished,
Detached,Backsplit 3,Bay Ridges,"$599,800","$583,000","$3,862",Krosno,829,3,1,3,53,4,105,Attached,None,Easy To Show With L/B. Closing Anytime. Privacy Fence In The B/Yard Can Be Removed By Seller Before Closing If Not Wanted By Buyer.,"Amazing Property On Bayridges! Fully Detached B/Split With Separate Entrance To Br Basement Apartment. Hardwood Floor Throughout Great Living And Dining Area. Lots Of Potlights. Open Cncpt,Attchd Garage And Private Driveway. Newer Roof, New High Efficient Furnace Ac, Newer Eave-Troughs! Freshly Painted. Lovely Kitchen With Brkfast Area. Walk Out To Lrg Patio And Backyard. Main Floor Lndry Room. Close To All Amenities, Walking Distance To Transit/School/401.","2 S/S Gas Stoves, 2 Fridges, Washer, Dryer, All Elf's.",Apartment,Sep Entrance
Semi-Detach...,2-Storey,Bay Ridges,"$574,900","$545,000","$3,618",Luna,1316,3,,2,17,1,0,Built-In,None,Two Hours' Notice For Showings. Half-Hour Showings Only. Please Close Bedroom Doors Before Leaving. Survey And Floor Plan Attached. Offers Any Time. Please Attach Schedule B And Form 801 To Offers And Allow 48 Hours Irrevocable.,"Location! Location! Join The Waterfront Community At Frenchman's Bay. Large, Very Bright 3-Bdrm Home On Quiet, Family-Friendly Cul De Sac. Steps To Frenchman's Bay, Marina, Beach, Waterfront Walking/Biking Trails, Restaurants, Schools. Walk To Go Train. Large Living/Dining & Eat-In Kitchen. Spacious Bdrms. Gas Fireplace In Rec Rm. W/O From The Living Rm To Deck/Large Yard. Access To Garage From Bsmt. Windows/Door Approx. 5 Yrs. Newer Roof Shingles, New Fence.","Fridge, Stove, Dishwasher (As Is Condition), Washer, Dryer, All Elfs, Window Blinds.",Finished,
Detached,Bungalow-Ra...,Bay Ridges,"$499,900","$495,000","$3,872",Miriam,835,4,,1,50,3,100,None,None,"Offers, If Any, Will Be Considered On Or After Sun. Feb. 11. Offers Must Be Emailed To Sell@Bouma.Ca, With Not Less Than 24 Hour Irrevocable And Include A Copy Of The Deposit Cheque, Schedule B And Form 801 (Attached To Listing). See Survey Attached.","How About A Detached Brick Bungalow, In A Quiet Pickering Neighbourhood, Close To The Waterfront And The G.O. Train, For Under $500,000? This Is A Great Opportunity To Build Equity With A Little Work. Please Note The Roughed Lower Level 3 Pc Bathroom.","Include: Fridge, Stove (In ""As Is"" Condition), Washer, Dryer, All Electric Light Fixtures, All Window Coverings, Central Air Conditioner. Rental: Hot Water Tank",Full,
Detached,2-Storey,Bay Ridges,"$529,900","$530,813","$3,932",Modlin,813,4,,2,64,2,86,Carport,None,"Easy To Show Lb., Hwt Rental. Alarm System $48/Mo, No Survey. Thanks For Showing! Schedule B And Form 801 To Accompany Any Offers. Offers Anytime.","This Is A Great Opportunity To Own A 4 Bedroom Detached 2 Storey Family Home In The Pickering's ""Beach"" Community Of Bay Ridges! This Well Cared For Home Is Set On A 64 Ft Wide Lot. Many Upgrades Such As Furnace, A/C, Water Purifier, Central Vac, Various Windows, And A Brand New (Dec'17) Front Door And Living Room Window. Covered 12 X 24Ft Deck.Close To Schools, Transit And Walking Distance To Frenchman's Bay With Its Sprawling Waterfront Park And Shops.","2 Fridges, Stove, Upright Freezer, Bar Fridge, Washer, Dryer, Water Purifier, Furnace (2012), A/C (2012), Alarm System, Brand New Bbq. Central Vac, Tool Shed, And Trash Storage Container. Circuit Breakers",Finished,
Detached,Sidesplit 4,Bay Ridges,"$520,000","$535,000","$3,975",Modlin,807,2,2,2,59,3,86,Carport,None,"This Home And All Chattels And Inclusions Being Sold ""As Is"" ""Where Is"" By The Power Of Attorney For The Owner (Brenda Tran). Please Include Schedule B, Motivated Seller, No Survey Available","This Is A Great Opportunity To Own A Detached Family Home In Pickering's ""Beach"" Community Of Bay Ridges! This Well Cared For Home Is Set On A Wide Lot With A Private Yard! Close To The Go Train, 401 As Well As The Sprawling Waterfront Park With Shops, Trails And Beach All Within Walking Distance! Much Of This Home Is In It's Original Condition And Just Awaiting Your Personal Touch!","Original Strip Hardwood Floors Under The Carpet, Newer Windows Add Lots Of Natural Light! Good Sized Rooms And A Spacious Main Floor. Tons Of Great Potential Here!",Unfinished,
Detached,Backsplit 3,Bay Ridges,"$614,900","$620,000","$4,226",Regan,879,3,1,2,37,3,100,Carport,None,"2.5% +Hst, Please Confirm All Showings, 9 Am 8 Pm, 2 Hour Notice Required, 2 Small Children, Leave Card, Thanks For Showing. Attach Schedule 'B'.","Superb 3 Bedroom Back Split. Located In South East Pickering On A Court Location & On A Large Pool Size Pie Shaped Lot. Home Features A Eat-In Kitchen + Multiple Upgrades, Shingles, Newer Modern Kitchen, Bathrooms, Windows, Refinished Hardwood Floors, Central Air, Central Vac, High Efficiency Furnace, Humidifier, Electrical Panel, Large Crawl Space For Storage & Kids Play Area, Separate Side Entrance. Easy Access To Transit, Hwy & Go Trains.","Fridge, Stove, Washer, Dryer, B/I Dishwasher, B/I Central Vacuum, Central Air, High Efficiency Gas Furnace, All Existing Window Coverings And All Electric Light Fixtures.",Crawl Space,Finished
Att/Row/Twn...,3-Storey,Bay Ridges,"$529,900","$521,000","$4,035",St Martins,1250,2,1,3,21,1,44,Attached,None,"S.S. Appl, Stacked White Washer/Dryer, All Ellf's, Window Coverings. Buyer To Assume Rental Of Hwt, Furnace & Ac ($71.18/Mth), Common Element Fees ($89.90/Mth) (Snow Removal/Grass Cutting). Incl. Sch 'B', Form 801 W/Offer. Buyer Agent To Verify Taxes/Rm Dim. Thanks For Showing!","Beautiful Home In Sought After San Fransisco By The Bay, Family Friendly Area, Close To All Amenities & Frenchman's Bay! ""The Carmel"" 1651 Sq Ft, Freshly Painted, Bright, Spacious Open Concept Living Space W/9 Ft Ceilings, Stainless Steel Appliances, Ceramic Flrs & Huge Private Rooftop Terrace, Great For Entertaining/Bbq's. Master W/4Pc Ensuite, His/Her Closets, Lrg 2nd Bdrm & Den, Extra Office/Rec Space On Main Flr W/Direct Garage Access.","Excellent Location! Minutes Walk To Frenchman's Bay, Pickering Go, Pickering Town Centre, Ideal For Downtown Commuter, Close To, Schools, Parks, Places Of Worship, Hospital, Pickering Town Centre, Banks, Grocery & More!",None,
Semi-Detach...,2-Storey,Bay Ridges,"$500,000","$500,000","$3,488",Tanzer,1167,3,,2,35,2,107,Attached,None,"H.I. Report Available, Seller Has Created A M/F Ldry/Mud Rm By Using 1/2 Garage (Easy To Remove The Wall Convert Back To Full Gar), Email Offer To Sophiatan@Sympatico.Ca Attach W/ Schedule B, 801 Form, 5% Deposit W/ Certified Cheque Pls.","Located At A Quiet Cul-De-Sac W/ View Of Frenchman's Bay! Absolutely Move In Condition $$$ Spent In Upgrades, New Bay Wdw In L.R. & All Newer Wdws, Newer Furnace & C.A.C., Newer Roof Shingles, 2 Skylights, M/F Ldry & Mud Rm, Central Vac, Stone Walkway, Hardwood Fl On Main Fl, Eat In Kit W/ French Door, W/O To Deck, O/L Water, Beautifully Landscaped Lot, Large Garden Shed, Min To ""Go"", 401 & Pickering Town Centre","E.L.F., G.B.&E., H.W.T.(R), C.A.C., C.Vac, Fridge X 2, Stove, Washer, Dryer, B/I D.W., All Wdw Covering, Garden Shed, Freezer,Garage Door Opener.",Full,Unfinished
Detached,2-Storey,Bay Ridges,"$1,089,000","$1,060,000","$6,707",Wharf,1315,4,,3,50,4,95,Attached,None,"Please Certify Deposit Cheque, Send Offers To Georgeavramopoulos@Royallepage.Ca. Attach Schedule B And Form 801 To Offers.","Welcome Home! This Quality Built Custom Home Is Nestled In The Heart Of Bay Ridges Tucked Away In A Private Court At The Foot Of Liverpool Just A Stone Throw Away From Lake Ontario. Enjoy The Scenery From The Backyard That Backs Onto A Conservation Green Space. No Neighbours Behind Or To The East Side. This 4Br Home Comes Equipped With 9Ft Ceilings, Over Sized Triple Glazed Windows, In Floor Heating, Huge Kitchen Island, Double Door Entry To Master, Walk Out","To Balcony, 30X10 Ash Wood Deck, 16.5X15 Barn/Workshop With Loft, All Stainless Steel Appliances, Tankless Hot Wtr,4 Car Parking, No Sidewalk, Child Safe Quiet Court, Steps To Lake, Restaurants & Millennium Square. Truly A Must See!",None,
Att/Row/Twn...,3-Storey,Bay Ridges,"$899,900","$880,000","$7,581",Wharf,1295,3,,5,28,1,70,Attached,Inground,"Attached Sched B, Form 801. Offers On Form 111 Potl. Status Cert. Available, Buyer To Verify Property Taxes. Floor Plans Attchd. Zoning Info Available Upon Request. Maint Fee $185/Mo Includes Pool, Water, Parking & Snow Removal. Click Online Button/Call L.A Brokerage To Book Appt","Cape Cod Inspired Marshall Built End Unit In Frenchman's Bay Village Waterfront Community Sprawls With Approx 3000 Sq. Ft. Of Finished Area And Breathtaking Lake Views From Multiple Balconies. Commercial Portion With Separate Liverpool Road Access, Currently Combined With Upper Level As Massive Residence With Plumbing For 2nd Kitchen. Custom Designer Granite Kitchen & Bathrooms.","Brazilian Cherry Hrdwd, Elect. Fireplace, Fridge, Stove, Washer, Dryer, Dw Micro. Elf's, Window Cov's, Gb&E, Cac, Roughed In Plumbing For 2nd Kitchen. Inground Pool, Walk To Lake, Boardwalk, Restaurants & Yacht Club.",Finished,
Att/Row/Twn...,2-Storey,Brock Ridge,"$529,000","$520,000","$3,473",Blue Ridge,2086,3,,3,25,2,100,Attached,None,Buyer And Buyers' Agent To Verify All Measurements And Taxes. Attach Form 801 And Schedule B. Offer Anytime.,"Welcome To This Cozy Freehold Townhouse. Renovated Kitchen, New Vanities, And Seats In All Washrooms (2016). New Entrance Door. New Mirror Closet Doors In The Bedrooms And On Main. Nest Thermostat. New Lights In Kitchen, Family Room And Outside, New Chandelier. New Berber Carpet On Stairs And New Blinds In Living/Dining Room. Large Master Bedroom. A Large Deck In The Backyard. Long Driveway With No Sidewalk. Minutes To 401/407, School, Parks And Shopping","S/S Fridge, Stove, Dishwasher, White Washer And Dryer. Window Coverings. All Elfs",Finished,
Detached,2-Storey,Brock Ridge,"$748,000","$730,000","$4,516",Blue Ridge,2005,3,2,4,35,2,100,Attached,None,"Pls Attach Sch 'B' & Form 801 W/ All Offers. Deposit Must Be A Certified Cheque. Buyer & Buyer's Agent To Verify All Information, Measurements & Taxes. Seller & La Do Not Warrant Retrofit Status Of Basement.","This Is What You've Been Waiting For! Absolutely Stunning 3+2 Bdrm + 4 Bath Home Located In A Highly Desirable Neighbourhood. Finished Bsmt W/ Sep Entrance. Fully Renovated! Pot Lights, Freshly Painted, Hardwood Flrs Throughout. 2nd Flr Family Rm W/ Fireplace, Can Be Used As 4th Bdrm. Double Car Garage. Move In And Enjoy! Close To Schools, Parks, Ttc, Place Of Worship, Go Train, Hwys & All Other Amenities.","All Elf's, All Window Coverings, All Blinds, S/S Fridge, S/S Stove, S/S B/I Dishwasher, Washer & Dryer. Fridge & Stove In Basement.",Finished,Sep Entrance
Detached,2-Storey,Brock Ridge,"$629,000","$625,000","$4,540",Blue Ridge,2003,3,1,3,35,2,101,Attached,None,Buyer Or Buyers Agent Responsible All The Measurements. Motivated Seller.,"Very Spacious 3 Bdrms House With One Bdrm Finish Basement.Good Size Living, Dining And Family Room With Fire Place.Huge Kitchen Lots Of Sparkling Pot Lights. House Recently Installed New Garage Door, New Roof Shingles, New Paint And Fully Serviced Furnace.","Fridge, Stove Laundry Washer, Dryer, Central Air, Built In Dishwasher, Central Vac And Equipment, Garage Door Opener And One Remote. Excluding The Drapes In Living Room And Master Bedroom.",Finished,
Detached,2-Storey,Brock Ridge,"$649,900","$620,000","$4,192",Blue Ridge,2137,3,,3,35,3,100,Attached,None,Pls Allow 2 Hours Notice Where Possible. Note: Property Linked Underground Only. Please Attach Schedule B And Form 801 To All Offers. Survey Available. This Home Is Spotless And Move In Ready. Closing Anytime,"Location, Location, Location!! Stunning Family Home In High Demand Brock Ridge Community. . This Pampered Home Has 3 Bedrooms, 2.5 Baths And Features Patio, 2-Car Garage, And A Terrific Finished Basement. Fresh Paint Everywhere. New Carpet. An Affordable Dream House. No Pets And Non Smoker. Nothing To Do But Move Right In. Bright Eat In Kitchen With W/O To Fully Fenced Backyard.","Fridge, Stove, B/I D/W, Washer, Dryer, All Electrical Light Fixtures, Broadloom Where Laid ('17), Gas Burner & Equipment, All Window Coverings. Newer Windows & Sliding Door. Walking Distance To Schools, Transit And Shopping.",Finished,
Detached,Bungalow,Brock Ridge,"$699,000","$679,000","$6,326",Conacher,1700,2,1,3,43,2,111,Attached,None,"Included: Newer Furnace&Cac ('16), Roof('09), Nicely Lndcped,Deck,Hwt Owned, All Existing Appliances (As Is), Gdo,Elf's, Note To Agents: Hurry For This One!! Absolutely Meticulous & Spacious Home! Offers Anytime Flex Closing Earlier Preferred ,801& Sch B Certified Or Mo.","Hurry For This One!! Meticulous Seldom Offered Open Concept Bungalow 2+1 Spacious (1700 Sq Ft Plus !!) In Quiet & Distinctive Enclave Of Prestigious "" Buckingham Gate Community"" 1st Time Offered By Original Owners!! Features: Formal Dd Entrance, Garage Access, Open Concept Formal Living & Dining Room Decorative Columns, Spacious Bright Kitchen W/Moveable Island & Breakfast Area Overlooking Family Rm W Gas Fp ( Lots Of Windows !) Master Br W/ Double Closet","& Ensuite Bath ( Soaker Tub Sep Shower), Main Fl Lndry Rm, Staircase Open To Basement Landing!, Huge Basement W/3Pc Bath/Bed Rm, Work Rm & Open Area Plus Cantina.Hardwood Fls In Main Halls, Kitchen & Family Rm Newer Brdlm In Lr&Dr& Bed Rms!",Part Fin,
Detached,2-Storey,Brock Ridge,"$719,800","$705,000","$4,680",Dellbrook,1696,4,1,3,44,3,100,Attached,None,Please Attach Schedule B/Form 801 To Offers,"Spacious Home With Internal Access From Garage,Pot Lights & Circular Stairs,Features A Modern Kitchen W/Granite Counter-Top & S/S Appliances,Lovely Family Rm With A Real Open Brick Wood Fireplace,Large Covered Deck With Skylight,Feature A Sun-Drenched Master Bedrm W/2 Closets+Full En-Suite,Impressive Home Within Close Proximity To All Schools,Transit,Plazas+Highways. Potential For A Main Floor Laundry As Well!","S/S Fridge, Stove, B/I Dishwasher, Cyclone Extraction Fan, Washer & Dryer * Impressive Home With Crown Moldings And Cold Room!",Finished,
Detached,2-Storey,Brock Ridge,"$729,000","$703,000","$4,791",Dellbrook,1556,3,2,4,56,4,110,Attached,Inground,**3%**Commission Shows Beautifully Weekdays 10Am-830Pm Weekends 10:30Am-7:30Pm Lockbox Please Include Schedule B Form 801 With Any Offer & Email To Neilmcintyre@Rogers.Com And Allow 48 Hours Irrevocable As Per Seller's Show & Sell This Is The One!,Absolutely Gorgeous Renovated Home Rich Dark Hardwood Throughout Stone Flooring Quartz Coutertops In The Kitchen & Upper Bathrooms Modern Family Sized Eat-In Kitchen Beautiful Backsplash Stainless Steel Appliances & Plenty Of Cabinet Space Main Floor Family Room Stone Fireplace & Walkout To The Pool King Sized Master Bedroom 4 Piece Ensuite Walk-In Closet W/Closet Amazing Organizers Rare Opportunity To Own This Beauty With A Separate Entrance To 2 Bedrm Apt,Stainless Steel Fridge Stove D/W Range Hood White Fridge White Stove H/E Furnace(11)Central Air(16)Hot Water Tank Owned(14)Patterned Concrete Salt Water Inground Pool Newer Heater/Liner/Pump Large Garage Centrally Located Close Amenities,Apartment,Sep Entrance
Detached,2-Storey,Brock Ridge,"$699,000","$660,000","$4,811",Dellbrook,1627,4,1,4,43,2,105,Attached,None,Buyer Or Buyer Agent To Verity All Measurments And Property Tax Info. Very Easy To Show. Attach Schedule B + Form 801 To All Offer,"First Time Offered For Sale!! Very Well Loved And Cared For Home! Great Size Foyer, Main Floor Laundry, Dining Room/Living Room, Very Spacious Kitchen Open To A The Family Room W/Wood Burning Fireplace, Walk-Out To A Very Nice Size Backyard! Massive Master Bedroom W/Huge Walk-In Closet + 4 Pc Bath, 3 More Bedrooms On Upper Floor Plus A 4 Pc Bath.","Finished Basement W/A Bedroom And 3 Pc Bathroom"" Roof ""12, R/I Central Vac, A/C + Furnace ""17, Some Windows ""16, Driveway ""13, Stamped Concrete ""13. Close To Hwy's, Shopping And Everything You Need! Don't Miss This Home!",Finished,
Detached,2-Storey,Brock Ridge,"$719,000","$709,000","$4,486",Duberry,2081,4,1,4,34,4,100,Attached,None,"Lockbox Available For Easy Showings. Deposit Chq Must Be Certified Or Bank Draft. Pls. Attach Sch ""B"" & Form 801. Offers Welcome Anytime. Thank You For Showing.","Your Wait Is Over! Fabulous 4 Bdrm, 4 Washroom Detached Home With Walk-Out Basement Available In The Brock Ridge Community. $$$ Income Potential $$$, Laminate Floors Throughout, 4 Oversized Spacious Bedrooms, Eat-In Kitchen, Newly Renovated Bathrooms, New Ac (2016), Newer Furnace, 2 Fireplaces, Large Deck, And So Much More. House Shows 10++++. Clean, Bright, Spacious, Modern, Won't Last Long!","2 Fridges, 2 Stoves, B/I Microwave, Dishwasher, Washer, Dryer, All Elfs, All Window Coverings. Close To 401, Shopping Amenities, School, Mosque And Transit.",Fin W/O,
